County Code,County Name,Candidate Surname,Candidate Other Names,Running Mate Surname,Running Mate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
29,Nandi,Lagat,Cleophas Kiprop,Lagat,Elijah Kiptarbei,Ind,Independent,IND,IND_GOV29_04,IND_GOV29_04
29,Nandi,Sang,Stephen Kipyego,Mitei,Yulita Chebotip,15,United Democratic Alliance,UDA,UDA,15
29,Nandi,Serem,Kibet Anderson,Koskey,Kibet Eliud,Ind,Independent,IND,IND_GOV29_05,IND_GOV29_05
30,Baringo,Benjamin,Cheboi Chesire,Kipngok,Charles Kimaiyo,15,United Democratic Alliance,UDA,UDA,15
30,Baringo,Kiptis,Stanley K,Koech,Cpa Richard Kigen,Ind,Independent,IND,IND_GOV30_01,IND_GOV30_01
30,Baringo,Lessonet,Moses K,Chebon,Kiprop Isaac,Ind,Independent,IND,IND_GOV30_02,IND_GOV30_02
31,Laikipia,Irungu,Joshua Wakahora,Ngatia,Reuben Kamuri,15,United Democratic Alliance,UDA,UDA,15
31,Laikipia,Joseph,John Wakaba,Mwenja,Francis Muthui,Ind,Independent,IND,IND_GOV31_01,IND_GOV31_01
31,Laikipia,Kabugi,Josphat Gitonga,Njihia,Magdaline Nyokabi,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
31,Laikipia,Kamau,Richard Mburu,Mwangi,Tabitha Muthoni,Ind,Independent,IND,IND_GOV31_02,IND_GOV31_02
31,Laikipia,Muriithi,Ndiritu,Waigwa,Michael Muriuki,27,Jubilee Party,JP,JP,27
32,Nakuru,Karanja,Elijah Chege,Kimani,Amos Njuguna,Ind,Independent,IND,IND_GOV32_01,IND_GOV32_01
32,Nakuru,Karanja,Stanley Chege,Oniang'o,Fredrick Amulaka,Ind,Independent,IND,IND_GOV32_02,IND_GOV32_02
32,Nakuru,Kihika,Susan,Kones,David Kipkemoi,15,United Democratic Alliance,UDA,UDA,15
32,Nakuru,Kinyajui,Lee Maiyani,Kiprop,Joyce Jelagat,27,Jubilee Party,JP,JP,27
32,Nakuru,Mungai,James Kiarie,Kuronoi,Sarah Rarite,Ind,Independent,IND,IND_GOV32_03,IND_GOV32_03
32,Nakuru,Munyua,Nicholas Karunjigi,Akenga,Benjamin Charles,Ind,Independent,IND,IND_GOV32_04,IND_GOV32_04
33,Narok,Ntutu,Patrick Keturet Ole,Kiprono,Koech Tamalinye,15,United Democratic Alliance,UDA,UDA,15
33,Narok,Richard,Moitalei Ole Kenta,William,Kenteiyia Oltetia,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,Kago,Peter Ambrose Nganga,Njonjo,Ngugi Robert,Ind,Independent,IND,IND_GOV34_01,IND_GOV34_01
34,Kajiado,Katoo,Metito Judah,Pere,Judy Neiyeiyo,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,Lenku,Joseph Jama Ole,Moshisho,Martin Martine,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,Nkedianye,David Kepue Ole,Manje,Joseph Wathigo,27,Jubilee Party,JP,JP,27
35,Kericho,Biegon,Isaac Kipkurui,Terer,Samwel Cheruiyot,Ind,Independent,IND,IND_GOV35_01,IND_GOV35_01
35,Kericho,Erick,Mutai Kipkoech,Kipngetich,Kirui Fredrick,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,Kirui,Joseph Kipngetich,Mutai,Valentine Chepkemoi,41,United Democratic Movement,UDM,UDM,41
35,Kericho,Rotich,Samuel KimutaiArap,Kirui,Elijah Kibett,Ind,Independent,IND,IND_GOV35_02,IND_GOV35_02
36,Bomet,Hillary,Barchok Kipngeno,Rotich,David Shadrack,15,United Democratic Alliance,UDA,UDA,15
36,Bomet,Mutai,Bernard Chepkwony,Langat,Elizabeth Chepkoech,62,Amani National Congress,ANC,ANC,62
36,Bomet,Rutto,Isaac Kiprono,Cheborge,Doris Chepkoech,54,Chama Cha Mashinani,CCM,CCM,54
36,Bomet,Toweet,Andrew Kibet,Serser,David Sonoiya,95,Green Thinking Action Party,GTAP,GTAP,95
37,Kakamega,Barasa,Fernandes Odinga,Savula,Ayub,21,Orange Democratic Movement,ODM,ODM,21
37,Kakamega,Jirongo,Shakhalaga Khwa,Konzolo,Josphert Milimu,64,United Democratic Party,UDP,UDP,64
37,Kakamega,Kanyanya,Suleiman Sumba,Kwalelo,Dorglas Moyan,33,Kenya African National Union,KANU,KANU,33
37,Kakamega,Malalah,Cleophas Wakhungu,Muganda,Beatrice Nelima,62,Amani National Congress,ANC,ANC,62
37,Kakamega,Omukoko,Samuel,Marani,John,28,Maendeleo Democratic Party,MDP,MDP,28
37,Kakamega,Opitso,Austine Otieno,Ayuku,Gideon Mudanyi,Ind,Independent,IND,IND_GOV37_01,IND_GOV37_01
37,Kakamega,Sakwa,Michael Osundwa,Zablon,Winrose,Ind,Independent,IND,IND_GOV37_02,IND_GOV37_02
38,Vihiga,Akaranga,Epainitous Moses,Mbuni,Paul Jiseve,25,Progressive Party Of Kenya,PPOK,PPOK,25
38,Vihiga,George,Khaniri,Samoyo,Wilson Jerald,64,United Democratic Party,UDP,UDP,64
38,Vihiga,Masadia,Alfred  Agoi,M'maitsi,Joyce Khasimwa,62,Amani National Congress,ANC,ANC,62
38,Vihiga,Ominde,Francis Angueyah,Ogonda,Wycliffe Chabaya,49,Federal Party Of Kenya,FPK,FPK,49
38,Vihiga,Ottichilo,Wilber Khasilwa,Gwadoya,Wilberforce Kitiezo,21,Orange Democratic Movement,ODM,ODM,21
39,Bungoma,Baraza,Zachariah Wakhungu,Se'kapchang ah,Kingsley Mutali,64,United Democratic Party,UDP,UDP,64
39,Bungoma,Lusaka,Kenneth Makelo,Mbatiany,Janepher Chemtai,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
39,Bungoma,Simotwq,Martin Ndiwa,Ronald,Wekesa Lupao,2,The National Vision Party,NVP,NVP,2
