County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
38,Vihiga,Kedogo,Jackson Swadi,15,United Democratic Alliance,UDA,UDA,15
38,Vihiga,Kweya,Otundo Kennedy,3,The Labour Party Of Kenya,LPK,LPK,3
38,Vihiga,Majani,Tyson,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
38,Vihiga,Mbith,Sisco Mbindi,Ind,Independent,IND,IND_SEN38_01,IND_SEN38_01
38,Vihiga,Ndeda,James Babira,25,Progressive Party Of Kenya,PPOK,PPOK,25
38,Vihiga,Ongadi,Leonard,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
38,Vihiga,Osotsi,Godfrey Atieno,21,Orange Democratic Movement,ODM,ODM,21
38,Vihiga,Simekha,Joseph Mukuna,49,Federal Party Of Kenya,FPK,FPK,49
38,Vihiga,Sultan,Michael Madaga,84,National Reconstruction Alliance,NRA,NRA,84
39,Bungoma,Barasa,Elias S,38,Peoples Empowerment Party,PEP,PEP,38
39,Bungoma,Kasili,Herman Kisekeli,64,United Democratic Party,UDP,UDP,64
39,Bungoma,Machacha,Jacob Kasimwaka,49,Federal Party Of Kenya,FPK,FPK,49
39,Bungoma,Ngome,Charles Kibanani,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
39,Bungoma,Sifuna,Lawrence Simiyu,21,Orange Democratic Movement,ODM,ODM,21
39,Bungoma,Wetangula,Moses Masika,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
40,Busia,Amoo,Moses Oude,15,United Democratic Alliance,UDA,UDA,15
40,Busia,Emoru,Moses Willingtone Ingwali,Ind,Independent,IND,IND_SEN40_01,IND_SEN40_01
40,Busia,Itela,Hilary Odera,21,Orange Democratic Movement,ODM,ODM,21
40,Busia,Kuchio,Lawrence Ongoma,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
40,Busia,Masinde,Isabella Anyona,27,Jubilee Party,JP,JP,27
40,Busia,Okoiti,Andrew Omtatah,84,National Reconstruction Alliance,NRA,NRA,84
40,Busia,Shiondo,Braxwell Wanjala,49,Federal Party Of Kenya,FPK,FPK,49
40,Busia,Wako,Doris Sabina,3,The Labour Party Of Kenya,LPK,LPK,3
41,Siaya,Oginga,Dr Oburu,21,Orange Democratic Movement,ODM,ODM,21
41,Siaya,Okinda,Julius Okongo,Ind,Independent,IND,IND_SEN41_01,IND_SEN41_01
41,Siaya,Onyango,Oscar Omondi,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
41,Siaya,Otieno,Ismael Atudo,Ind,Independent,IND,IND_SEN41_02,IND_SEN41_02
41,Siaya,Owiti,James Wamban,72,Movement For Democracy And Growth,MDG,MDG,72
41,Siaya,Yogo,Tony Yogo,Ind,Independent,IND,IND_SEN41_03,IND_SEN41_03
42,Kisumu,Enos,Gundi Okolo,27,Jubilee Party,JP,JP,27
42,Kisumu,Odhiambo,Ojienda Tom,21,Orange Democratic Movement,ODM,ODM,21
43,Homa Bay,Aloo,Jack Onyango,29,National Rainbow Coalition,NARC,NARC,29
43,Homa Bay,Kajwang,Moses Otieno,21,Orange Democratic Movement,ODM,ODM,21
43,Homa Bay,Ojanga,Thomas Ochieng,33,Kenya African National Union,KANU,KANU,33
43,Homa Bay,Otieno,Everlyn Atieno,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
43,Homa Bay,Oyugi,Kenneth Kambona,Ind,Independent,IND,IND_SEN43_01,IND_SEN43_01
43,Homa Bay,Wasonga,Beatrice Achieng',12,Wiper Democratic Movement- Kenya,WDM,WDM,12
44,Migori,Christopher,Sophia Rocklynne Dhibirah,27,Jubilee Party,JP,JP,27
44,Migori,Mijungu,Billy Graham Okumu,Ind,Independent,IND,IND_SEN44_01,IND_SEN44_01
44,Migori,Oketch,Eddy Gicheru,21,Orange Democratic Movement,ODM,ODM,21
45,Kisii,Atemba,Richard Minyega,13,Democratic Party Of Kenya,DP,DP,13
45,Kisii,Maangi,Joash Arthur Gongera,15,United Democratic Alliance,UDA,UDA,15
45,Kisii,Magara,James Omingo,27,Jubilee Party,JP,JP,27
45,Kisii,Manyinsa,Vincent Ng'wono,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
45,Kisii,Nyangau,Evans Nyakundi,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
45,Kisii,Oigara,Credius Nyamwange,62,Amani National Congress,ANC,ANC,62
45,Kisii,Okemwa,Samuel Riose,83,National Ordinary Peoples Empowerment Union,NOPEU,NOPEU,83
45,Kisii,Omanga,John Kennedy,33,Kenya African National Union,KANU,KANU,33
45,Kisii,Onyonka,Richard Momoima,21,Orange Democratic Movement,ODM,ODM,21
46,Nyamira,Machoka,Alvin Mokaya,46,United Party Of Independent Alliance,UPIA,UPIA,46
46,Nyamira,Mecha,Jared Sagwe,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
46,Nyamira,Mochenwa,Adams Nyaribo,13,Democratic Party Of Kenya,DP,DP,13
46,Nyamira,Mogeni,Erick Okongo,21,Orange Democratic Movement,ODM,ODM,21
46,Nyamira,Mokaya,Christopher Alvin,80,Usawa Kwa Wote Party,USAWA,USAWA,80
46,Nyamira,Mose,Nyambega,15,United Democratic Alliance,UDA,UDA,15
46,Nyamira,Ogeto,Richard Oseko,25,Progressive Party Of Kenya,PPOK,PPOK,25
46,Nyamira,Okongo,Kennedy Mongare,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
46,Nyamira,Onyancha,James Boera,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
47,Nairobi City,Angira,Silas Brilliance Antony Owiti,44,Party Of Democratic Unity,PDU,PDU,44
47,Nairobi City,Gichuru,David Mwangi,34,Safina,SAFINA,SAFINA,34
47,Nairobi City,Jamaa,Abdikadir Ahmed,80,Usawa Kwa Wote Party,USAWA,USAWA,80
47,Nairobi City,Kabera,William Wahome,13,Democratic Party Of Kenya,DP,DP,13
47,Nairobi City,Kabogo,Julie Wanjiru,87,Chama Cha Kazi,KAZI,KAZI,87
47,Nairobi City,Kamau,Jacintah Wambui,32,Communist Party Of Kenya,CPK,CPK,32
47,Nairobi City,Kinyua,Victoria Wanjiru,82,The Service Party,TSP,TSP,82
47,Nairobi City,Makau,Bernard,Ind,Independent,IND,IND_SEN47_01,IND_SEN47_01
47,Nairobi City,Misoka,Justine Nyangwono,83,National Ordinary Peoples Empowerment Union,NOPEU,NOPEU,83
47,Nairobi City,Mukolwe,Pamela Ateka,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
47,Nairobi City,Ochoti,John Onsomu,33,Kenya African National Union,KANU,KANU,33
47,Nairobi City,Ochweri,Daniel Ogwoka,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
47,Nairobi City,Sifuna,Edwine Watenya,21,Orange Democratic Movement,ODM,ODM,21
47,Nairobi City,Wanjiru,Margaret,15,United Democratic Alliance,UDA,UDA,15
