County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
19,Nyeri,Kabando,Kabando Wa,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
19,Nyeri,Kanyua,Priscilla Nyokabi,27,Jubilee Party,JP,JP,27
19,Nyeri,Nyamu,Wambugu,13,Democratic Party Of Kenya,DP,DP,13
19,Nyeri,Waithanji,Mercy F T,Ind,Independent,IND,IND_SEN19_01,IND_SEN19_01
19,Nyeri,Wamatinga,Wahome,15,United Democratic Alliance,UDA,UDA,15
20,Kirinyaga,Dickson,Daniel Karaba,27,Jubilee Party,JP,JP,27
20,Kirinyaga,Jane,Anthony Murigu,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
20,Kirinyaga,Karimi,Anthony Gitari,Ind,Independent,IND,IND_SEN20_01,IND_SEN20_01
20,Kirinyaga,Karubiu,James Karimi,13,Democratic Party Of Kenya,DP,DP,13
20,Kirinyaga,Kathanga,Peter Gachoki,34,Safina,SAFINA,SAFINA,34
20,Kirinyaga,Mithamo,Florence Wangui,86,Party For Peace And Development,PPD,PPD,86
20,Kirinyaga,Murango,James Kamau,15,United Democratic Alliance,UDA,UDA,15
21,Murang'a,Gitura,James Kembi,27,Jubilee Party,JP,JP,27
21,Murang'a,Kigia,Hellen Ndiko,47,Farmers Party,FP,FP,47
21,Murang'a,Mwangi,Comfort Waitherero,33,Kenya African National Union,KANU,KANU,33
