County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
44,Migori,Otieno,Lilian Awino,27,Jubilee Party,JP,JP,27
44,Migori,Sirega,Josphine Achieng,Ind,Independent,IND,IND_WMNA44_04,IND_WMNA44_04
45,Kisii,Aburi,Donya Dorice,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
45,Kisii,Getoi,Lucyfellah Bwari,13,Democratic Party Of Kenya,DP,DP,13
45,Kisii,Karani,Jackline,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
45,Kisii,Mamwacha,Dorothy Kwamboka,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
45,Kisii,Mogoi,Gertrudah Nyatich,81,United Progressive Alliance,UPA,UPA,81
45,Kisii,Ngare,Forntina Roseline,62,Amani National Congress,ANC,ANC,62
45,Kisii,Nyamao,Julie Nyanchama,9,Kenya National Congress,KNC,KNC,9
45,Kisii,Obino,Maureen Moraa,Ind,Independent,IND,IND_WMNA45_01,IND_WMNA45_01
45,Kisii,Ogendo,Evelyn Nyoteyo,Ind,Independent,IND,IND_WMNA45_02,IND_WMNA45_02
45,Kisii,Onderi,Vicky Nyaboke,40,The New Democrats,TND,TND,40
45,Kisii,Ongera,Janet,21,Orange Democratic Movement,ODM,ODM,21
45,Kisii,Onsarigo,Peris Bitutu,27,Jubilee Party,JP,JP,27
45,Kisii,Oroo,Teresa Bitutu,15,United Democratic Alliance,UDA,UDA,15
45,Kisii,Otundo,Rael,25,Progressive Party Of Kenya,PPOK,PPOK,25
46,Nyamira,Achoki,Perus Kemunto,Ind,Independent,IND,IND_WMNA46_01,IND_WMNA46_01
46,Nyamira,Asanyo,Margaret Moraa,37,National Agenda Party Of Kenya,NAPK,NAPK,37
46,Nyamira,Chae,Alice Nyanchoka,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
46,Nyamira,Matoke,Emily Kwamboka,21,Orange Democratic Movement,ODM,ODM,21
46,Nyamira,Momanyi,Jerusha Mongina,27,Jubilee Party,JP,JP,27
46,Nyamira,Mongare,Rebecca Thomas,62,Amani National Congress,ANC,ANC,62
46,Nyamira,Nyamwanda,Jemima Mary,19,Kenya Social Congress,KSC,KSC,19
46,Nyamira,Obaigwa,Anned Nyakerario,25,Progressive Party Of Kenya,PPOK,PPOK,25
46,Nyamira,Omanwa,Josephine Moraa,15,United Democratic Alliance,UDA,UDA,15
46,Nyamira,Ombogo,Jassy Moraa,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
46,Nyamira,Onguso,Judith Moraa,84,National Reconstruction Alliance,NRA,NRA,84
46,Nyamira,Onsongo,Nancy Nyaboke,33,Kenya African National Union,KANU,KANU,33
47,Nairobi City,Gitau,Monica Wamaitha,80,Usawa Kwa Wote Party,USAWA,USAWA,80
47,Nairobi City,John,Delvine Moraa,Ind,Independent,IND,IND_WMNA47_01,IND_WMNA47_01
47,Nairobi City,Mudachi,Mary Musuki,95,Green Thinking Action Party,GTAP,GTAP,95
47,Nairobi City,Ntwiga,Brendah Kangai,Ind,Independent,IND,IND_WMNA47_02,IND_WMNA47_02
47,Nairobi City,Omanga,Millicent Nyaboke,15,United Democratic Alliance,UDA,UDA,15
47,Nairobi City,Omolo,Teresia Antony,44,Party Of Democratic Unity,PDU,PDU,44
47,Nairobi City,Passaris,Esther Muthoni,21,Orange Democratic Movement,ODM,ODM,21
