County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
22,Kiambu,Wachiuri,Hellen Wagaki,80,Usawa Kwa Wote Party,USAWA,USAWA,80
23,Turkana,Aletia,Susan Amlango,27,Jubilee Party,JP,JP,27
23,Turkana,Kinyonga,Tina Ekintos,92,Mabadiliko Party Of Kenya,MAPK,MAPK,92
23,Turkana,Lokala,Audan Leah,21,Orange Democratic Movement,ODM,ODM,21
23,Turkana,Lokuruka,Pauline Akai,Ind,Independent,IND,IND_WMNA23_01,IND_WMNA23_01
23,Turkana,Ngitit,Cecilia Asinyen,15,United Democratic Alliance,UDA,UDA,15
24,West Pokot,Cheptoo,Lilian Tomitom,15,United Democratic Alliance,UDA,UDA,15
24,West Pokot,Cherotich,Hellen,54,Chama Cha Mashinani,CCM,CCM,54
24,West Pokot,Chongorio,Night Cherop,Ind,Independent,IND,IND_WMNA24_01,IND_WMNA24_01
24,West Pokot,Kasiwai,Rael Chepkemoi,89,Kenya Union Party,KUP,KUP,89
24,West Pokot,Mukenyang,Catherine Chepkemoi,33,Kenya African National Union,KANU,KANU,33
24,West Pokot,Rotino,Rodah Chepkopus,21,Orange Democratic Movement,ODM,ODM,21
25,Samburu,Kulea,Josephine,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
25,Samburu,Lekaikum,Naomi Setiyo,13,Democratic Party Of Kenya,DP,DP,13
25,Samburu,Lemoosa,Josephine Statian,82,The Service Party,TSP,TSP,82
25,Samburu,Lenguris,Pauline,15,United Democratic Alliance,UDA,UDA,15
